LR_00025,LR_0005,LR_00075,LR_001
-126.0673078,-29.06433773,-93.01967462,-68.34832382
-109.9061788,-94.11203385,-32.25128365,-68.41822052
-93.77205785,-66.20339441,-291.3806305,-92.96528054
-45.34988626,-69.48607189,-94.88725281,-68.75821558
-86.88033169,-47.52759933,-71.38757133,-103.3253454
-47.00813675,-45.40396859,-71.58936436,-0.072074155
-25.15452671,-35.9685837,-30.36518733,-4.999137557
-21.55548986,-112.6922289,-78.32708233,-45.52691301
-42.32488441,-208.8070908,-131.579764,-17.69583384
-9.280161937,-46.53776423,-28.20083224,-67.78927612
-36.98128255,-50.23490907,-28.00254948,0.983744947
-19.34552733,-78.44551595,-81.63126721,-24.05923694
-49.16115443,-35.0828282,-148.9781094,-31.00073751
-15.78994179,-65.33469137,-57.51023834,-46.20808284
-38.64660996,-78.48989932,-109.4094321,-2.3327802
-7.465693631,-73.67921321,-13.62690496,-37.45121956
-2.128413874,-63.5932312,-36.11125507,-25.73328312
-42.02467792,-48.87728373,-4.20529302,-41.6436189
-2.563044233,-44.38711548,-37.28757906,-49.85375023
-46.39927465,-57.94744579,-50.9313971,-45.1195062
-55.05533854,-51.87214335,-10.41824786,-39.80458196
-39.271801,-67.71204886,-41.47513008,-29.50807635
-21.79394595,-49.00190798,7.287433384,-41.8594869
-77.73677699,-53.49659093,-69.88943864,-24.25742595
-52.2575442,-34.90375964,-44.88217384,-28.26650492
-12.55580123,-20.04030736,-23.55709012,-44.90292326
-46.6593504,-91.27346546,-2.127283097,-29.35737212
-36.52071762,-43.17796771,-119.0988096,-39.52015305
-29.413167,22.00486499,-16.11790777,-25.72900804
-20.61627245,-12.48050467,-72.28006745,-23.13997491
-59.63035711,-48.74493502,-3.585733413,-40.16327604
-64.5252819,-29.4442819,5.690297443,-39.54925346
-65.37016679,-38.6119051,-7.99696223,-64.96785863
-40.88289134,-54.07759094,-13.66836548,-55.72296143
-66.17662048,-18.04579767,24.74576569,-28.25778802
