Small_Model_Run_1,Small_Model_Run_2,Small_Model_Run_3,Mid_Model_Run_1,Mid_Model_Run_2,Mid_Model_Run_3,Large_Model_Run_1,Large_Model_Run_2,Large_Model_Run_3
-122.7397003,-130.6829224,-138.6316071,-104.3923874,-108.5388184,-101.401001,-110.2289276,-111.0271835,-114.3758545
-121.7902527,-129.5877533,-135.0362396,-103.6892471,-108.5832901,-100.791748,-109.5982285,-109.823761,-110.1608887
-119.6745987,-129.3284607,-134.8882904,-103.0896683,-108.4215927,-101.3287506,-107.501503,-109.4045105,-109.3815765
-118.9738617,-129.389801,-133.4950867,-102.0834274,-105.7349854,-103.3681641,-107.5119019,-109.6917801,-108.5908813
-117.7725067,-129.7162933,-132.0771332,-101.2466125,-107.6183395,-103.3145905,-104.8928452,-107.8545609,-105.9361191
-116.8469162,-125.38517,-128.4708557,-98.81445313,-108.3762741,-102.7906342,-104.7943802,-107.0847473,-102.9408417
-117.1429214,-124.796669,-127.4782639,-95.85109711,-107.9575882,-99.77548981,-105.6433487,-106.4435349,-102.6857376
-117.7122269,-121.5927811,-126.9225006,-94.87020111,-105.0607376,-99.20463562,-104.9735107,-102.7784119,-102.6506271
-115.7859192,-121.2141113,-127.070076,-92.63827515,-104.4196167,-99.06308746,-104.8863449,-102.8446503,-100.7378387
-115.2258987,-120.6730118,-125.2155533,-92.37425995,-103.4669724,-97.08816528,-105.0453568,-100.9623184,-98.45522308
-113.9009933,-119.6180344,-123.7470703,-92.80853271,-102.2361984,-94.09638214,-104.135376,-99.93088531,-93.70774078
-114.2200165,-118.5628204,-123.6554718,-93.01500702,-101.3187561,-91.01274872,-103.6524048,-99.59002686,-93.54067993
-115.0712509,-117.4805832,-120.1936188,-92.00746155,-100.2357559,-90.75810242,-104.3630753,-99.02270508,-91.08950043
-112.7957611,-114.2060776,-117.3652191,-92.27224731,-98.93994904,-90.47942352,-104.2137451,-97.38644409,-88.00520325
-112.7230377,-114.2020416,-115.994545,-91.87108612,-98.38095856,-90.55545044,-103.4503326,-95.62502289,-87.04184723
-112.719429,-114.55336,-115.1371002,-91.09947205,-95.43939209,-89.6787262,-103.3957748,-94.72806549,-85.53930664
-110.3503036,-115.7667999,-114.397522,-88.98167419,-95.71664429,-88.99588776,-101.9163589,-93.96846771,-85.10905457
-109.9321136,-113.7258987,-112.0334854,-88.81195831,-93.00653076,-88.65509796,-100.4060135,-92.03533173,-84.58560181
-109.0200806,-113.8503876,-112.3258362,-87.44779205,-91.58925629,-88.16814423,-98.39881897,-90.45269775,-83.35883331
-106.8017578,-113.3444977,-109.9692459,-85.99822235,-88.11965179,-85.38407898,-97.81187439,-89.43833923,-83.34355164
-107.8990097,-112.7013474,-108.3094101,-85.19491577,-87.59872437,-84.11737823,-99.20939636,-88.68571472,-83.14079285
-106.5465851,-111.7502213,-106.896759,-84.09603882,-88.06742859,-84.53106689,-100.7362595,-87.75714874,-82.3780365
-106.0996017,-111.0875473,-108.0802689,-83.97115326,-88.00338745,-83.26944733,-100.5176849,-87.13250732,-81.71445465
-105.326416,-110.4277039,-107.328331,-83.60144043,-87.39703369,-82.80233765,-98.84461212,-86.88690948,-80.72254181
-105.1980057,-108.1101761,-104.2462158,-79.83556366,-87.76837158,-81.70041656,-98.86393738,-86.84922028,-80.3086319
-105.2213287,-106.3865814,-104.5951385,-79.43815613,-88.85293579,-81.02733612,-98.03642273,-85.9852829,-79.34443665
-103.0563812,-103.6809387,-106.5323181,-80.15083313,-86.3819809,-81.26948547,-97.73838806,-85.08628845,-79.79969788
-99.51691437,-102.7901611,-107.0391235,-78.74539948,-85.06912994,-79.70587921,-96.40659332,-84.45578003,-78.98886871
-98.43547821,-101.8020706,-106.0911331,-77.99752045,-84.76522064,-81.13376617,-96.29196167,-82.18701172,-78.73714447
-95.47409821,-101.1870117,-103.4590607,-77.72501373,-83.76372528,-79.90157318,-96.47242737,-79.35977936,-77.51226807
-93.59702301,-100.3629837,-102.4563675,-77.50222778,-82.64651489,-78.88552094,-97.61338043,-77.78557587,-78.59554291
