Small_Avg_Episodic_Reward,Mid_Avg_Episodic_Reward,Large_Avg_Episodic_Reward
-31.70030085,67.01393509,74.47580689
-50.2600886,13.24802906,113.688886
-61.08869298,-37.88806659,111.2458496
-57.62683231,89.28629144,113.0222861
-54.00548808,-13.45819219,137.9647268
-23.07004865,50.33594449,47.65687721
-29.8839531,-31.61751906,123.5281525
-38.49675909,75.09174108,199.7775014
-23.5747172,84.39302947,199.1186651
-183.672177,-56.10571892,121.3352734
-43.03486888,-46.0422977,67.47454154
43.5645825,-36.52010617,-11.99388885
-41.5647672,64.18098766,187.0319112
-40.37591585,7.054079707,215.4606628
-52.78525416,-51.15302149,279.3719381
-39.3080101,69.54435348,76.50894421
-60.89836121,69.47896291,221.4739329
-73.10927836,90.99534988,67.74641291
-51.15011025,75.46605522,114.8239763
-43.1653827,26.89999041,112.2935333
-12.73545885,75.27130445,6.464286797
-52.89603742,-41.11329652,185.4206416
-40.20852375,0.149659316,0.078486127
-62.05960337,10.64582805,164.5191651
-24.51376502,69.42787678,131.3472646
-41.3260409,-12.3192234,57.07136788
-39.83085251,-85.19999656,16.1701304
-27.19826964,41.16028848,140.0852916
-36.93201002,50.23271427,122.2293294
-40.50230789,119.4428113,115.2646535
-11.3445816,-64.86126422,119.3546651
-17.61766299,98.78249487,246.2870026
-115.6725219,-4.926232773,205.3060405
-30.55714798,47.19993433,145.4842046
-48.55906677,65.65762521,124.7795397
-52.43040403,54.07178434,141.4939041
-62.86610747,152.6910928,-7.066332177
-188.3754527,-93.71868705,-16.66302743
-43.55875524,68.49117598,84.79126483
-56.97169622,-29.67648378,165.0532411
-73.69634247,-12.59518369,37.13265988
-24.19060135,224.3882955,154.8832042
-30.81269836,57.62425867,223.2430725
-28.90292835,101.496198,121.6714579
-32.67736848,56.82867748,33.85901914
-44.71753359,64.75829188,-60.30888034
-68.22243501,38.82240933,32.30829621
-49.5013906,57.33771515,185.6707287
-94.88239033,153.6486441,69.19406892
-52.45739873,221.1240235,147.4341405
-23.2885623,149.3883381,138.9526895
-49.13458316,70.36491298,135.4806213
-23.16860596,231.4141744,232.412674
-54.39856467,159.0522506,167.4049873
-63.48098375,131.9208451,42.44676718
-13.7866768,249.2453104,152.7890441
-51.52327474,98.55548093,164.1297099
-23.39430555,171.1206233,235.8781382
-71.95013493,161.2394676,10.18906659
-27.74583562,168.4988168,-58.88652547
-78.09552321,130.231624,53.53304292
-10.22771533,139.238089,250.9425456
-19.59528986,160.4513674,181.4238383
0.51698049,-31.8858916,225.8616842
-3.267953713,146.42917,242.7316284
-17.70417404,151.35939,265.5991669
-93.82713223,-42.73371633,111.2515513
-29.88881707,35.90131632,276.341685
-30.88539382,145.762517,222.6927745
-46.94764074,134.6643385,166.7884231
18.67339326,140.5101814,275.5481415
-10.58462365,179.7658348,38.43375969
16.52102152,183.1747029,163.9752369
68.04575728,159.7639656,158.3550186
-39.08615478,146.6067143,83.5655314
-31.21649424,229.2000885,107.374059
-38.41740227,174.0245756,231.9517873
-45.92161115,190.7751554,24.90460203
27.70500184,138.5153771,-114.9143931
19.92361067,222.9733887,219.719218
-42.50037511,178.8194634,138.8234078
-25.48493131,248.2921448,137.8492884
15.59126535,151.8233859,2.528355913
-22.04811606,23.78660077,159.7767248
17.96154911,159.2815841,243.1932068
-12.89287202,249.0950877,246.1958059
44.527867,84.37872189,238.5698445
60.00639757,51.34585604,250.7991587
36.65816752,161.2557805,43.5357005
37.76285045,180.4144503,151.9433408
-60.24028524,75.93408649,141.7188911
-79.35908065,129.5211614,242.9929454
66.34824436,75.13572821,219.0851034
31.5058263,221.9799042,171.4343286
17.38683065,256.831899,270.5663045
7.706324257,62.42352293,172.6612383
138.0258433,109.5799634,166.3081818
55.60709128,-22.99331093,40.26912785
117.6471698,104.4316661,244.1406657
54.66987227,170.1917051,82.55281573
38.49668819,60.63906097,69.225825
98.38106631,252.9343313,122.8215625
-27.24667231,117.2537002,256.0852763
61.01705161,256.4959564,273.2631175
