batch_size_24_Run_1,batch_size_24_Run_2,batch_size_24_Run_3,batch_size_32_Run_1,batch_size_32_Run_2,batch_size_32_Run_3,batch_size_64_Run_1,batch_size_64_Run_2,batch_size_64_Run_3,batch_size_128_Run_1,batch_size_128_Run_2,batch_size_128_Run_3
-113.2973785,-109.1578979,-127.6454391,-105.1012268,-111.7011032,-116.9310379,-112.3863068,-112.6814499,-132.5436707,-96.9770813,-99.3716507,-102.2362595
-112.3676224,-108.5412216,-127.6406708,-104.4523544,-111.0400162,-117.5344162,-111.9667358,-113.1777115,-133.8028259,-96.15960693,-98.35034943,-100.7937546
-113.1216125,-104.8136063,-127.524559,-103.8245316,-108.0803528,-118.4349213,-113.7220764,-112.7648773,-134.625946,-95.83625031,-98.00097656,-98.72650146
-111.5356064,-103.1912003,-126.3865509,-103.4216537,-108.5955582,-117.7762833,-114.1751862,-112.1343002,-132.4543152,-94.71399689,-96.98130798,-97.47573853
-109.2830811,-102.4894257,-125.463623,-101.7086105,-108.0827789,-114.0735321,-113.7220383,-110.9960403,-131.4685059,-93.89706421,-95.87662506,-95.99085999
-107.7462387,-98.67667389,-126.7307358,-99.08349609,-105.4911575,-111.9323273,-113.3629379,-110.7962036,-131.0022888,-93.66648102,-96.26373291,-94.89276123
-105.0510406,-99.37443542,-126.2716599,-99.35023499,-105.1121368,-111.9013214,-111.6864777,-108.5141754,-131.7326355,-93.9330368,-95.34862518,-93.62247467
-104.6613846,-97.21212769,-124.79599,-99.35255432,-102.1113968,-110.6868973,-111.1260223,-106.9789886,-131.4717712,-95.4823761,-96.84414673,-92.98651886
-103.3596497,-97.17455292,-125.9592285,-98.61800385,-102.2638397,-110.2587662,-114.243248,-106.8423004,-131.0722809,-93.47961426,-97.14234161,-92.69651031
-99.68437195,-96.6852417,-123.3010635,-98.56545258,-102.182518,-106.22612,-113.0503616,-105.6332016,-130.3505096,-90.539711,-94.90314484,-90.88928986
-97.82639313,-96.39680481,-120.6704941,-98.32001495,-98.70903778,-105.5531006,-114.7205048,-103.166214,-128.8803558,-85.95746613,-94.28474426,-90.29922485
-97.6889267,-96.01667023,-119.6961975,-96.13918304,-98.18206787,-104.9659119,-113.9968185,-102.0035934,-127.0310974,-85.76541138,-89.8243103,-89.64678192
