Batch_Size_24,Batch_Size_32,Batch_Size_64,Batch_Size_128
-71.60111873,-73.9787267,-85.55875271,-46.50894419
-86.9838333,-99.72015381,-140.9183464,-60.58846857
-51.67853896,-53.25126775,-164.6315537,-149.9399757
-114.4219818,-24.37801933,-153.1021436,-52.01490911
-31.48566778,-52.87028885,-94.89505133,-50.71524906
-97.12618892,-138.4363162,-143.5758179,-27.14213562
-98.48167164,-96.24468995,-156.0426318,-54.41124217
-12.87308693,-94.31530636,-88.73394649,-17.88025411
-25.18485626,-53.40996076,-75.67766189,-29.92234357
-109.9676105,-73.98040772,-92.30867514,-59.03626824
-100.6824188,-65.36802928,-98.71752708,-57.36438751
-70.36371485,-67.90805308,-52.4194603,-180.038607
-141.5213521,-92.25273006,-194.3917643,-61.37928136
-84.53910066,-47.6740818,-40.41862488,-56.70245361
-40.1104749,-54.78133329,-140.0480181,-16.22820505
-59.43039704,-104.5188471,-71.84811083,-38.30223338
-68.26698907,-77.13864135,-96.76484174,-67.97643153
-87.63431041,-55.2548434,-71.720459,-96.18311818
-62.78784179,-73.46331407,-85.77569072,-122.7872467
-105.4258753,-84.03135301,-153.2359924,-120.0431882
-90.97616203,-67.30320613,-53.72937773,-175.4780547
-87.29857764,-69.78358841,-120.4929075,-46.61582311
-123.7180913,-114.193374,-127.4710287,-33.3810304
-67.13018303,-43.64889193,-61.92911147,-72.72164282
-46.13803609,-58.48066837,-67.88753255,-45.30084356
-184.9452146,-11.75888668,-135.9066397,-80.4898618
-77.82693992,-41.9359684,-96.28697174,-170.1524887
-125.5063667,-46.89561971,-136.933108,-55.50994079
-45.58544,-73.78959276,-108.9809151,-66.89084436
-102.6253789,-59.03742983,-74.32980601,-106.4983851
-64.5961558,-63.8081913,-114.7113463,-67.74374898
-35.09635099,-106.0283101,-59.74018033,-117.1712488
-104.1428054,-40.09193548,-91.78424836,-19.24764315
-46.8124396,-45.88481609,-36.38738759,-38.7345438
-29.54642677,-54.3861599,-131.3461329,-125.0316823
-27.13132159,-51.45460638,-25.69447136,-47.89705658
-177.6765874,-104.1958936,-106.4562347,-12.77425162
-103.8444023,-70.97404243,-185.057607,-73.5781382
-39.48130862,-207.1787008,-94.7284902,-40.61112944
-75.19425584,-123.1543058,-55.8273379,-80.37347111
-166.6660512,-214.6616465,-146.8631347,-37.50502586
-103.1733481,-143.5348489,-158.5948741,-26.80182203
-82.91409652,-211.3010839,-112.9738089,-34.36602465
-31.9941241,-53.44209798,-103.7785072,-13.14883741
-132.6678314,-159.2258275,-115.3177571,-172.2073231
-139.6958939,-105.6359914,-147.2881088,-35.17047755
-54.44935862,-46.22030513,-53.59789583,-5.366604806
-97.69748689,-161.5993602,-64.7946526,17.96414437
-139.3883724,-50.47771104,-133.3973853,-16.63818582
-34.89613469,-49.38682938,-201.3720601,24.01202647
-180.3463771,-42.21986612,-181.9481507,-0.09379387
-67.42644817,-65.7894745,-54.64249959,-6.53763199
-76.62634659,-47.67733828,-120.0984866,0.341236107
-52.01611241,-40.58701102,-65.88920148,-58.92311222
-17.36303139,-60.18811703,-23.02168561,-140.6864179
-105.2382571,-73.81172053,-28.77980222,-36.96321869
-58.91290919,-156.5840912,-110.9564422,-25.94467418
-173.277298,-116.3844401,-196.9077918,-55.46067556
-80.90051332,-48.33342997,-100.3594373,-58.06620091
-87.41783333,-54.66134645,-2.831342062,4.918820694
-58.20290025,-11.68325043,-59.66718673,-84.1314802
-64.58852768,-29.87710063,-59.6769549,33.46109287
-26.24585247,-91.56653991,-62.52168147,-73.82456462
-74.7886308,-63.19560879,-19.19081116,-55.72763443
-74.32434762,-41.61721039,-45.50895437,-69.64793142
-85.75978152,-23.62358983,-23.6163292,-59.88153203
-34.05150604,-90.41451137,-102.7479146,-59.79579608
-49.81577365,-45.87344585,-66.83319473,15.24218241
-134.6901805,-98.26779176,-57.90810394,81.16673279
